AUTOGENERATED FILE DO NOT EDIT
View a prettier version of this at,https://docs.google.com/spreadsheets/d/15pJY4cxtM2NVNFKQDgDnoT5PLo0Nm5Td-Ov-5PZefAw
platform,Android Nexus5 Perf,Android Nexus5X WebView Perf,Win 7 Nvidia GPU Perf,Win 7 Perf,android-go-perf,android-go_webview-perf,android-pixel2-perf,android-pixel2_weblayer-perf,android-pixel2_webview-perf,linux-perf,mac-10_12_laptop_low_end-perf,mac-10_13_laptop_high_end-perf,win-10-perf,win-10_laptop_low_end-perf
loading.mobile,0.092,0.021,0.000,0.000,0.000,0.000,0.026,0.000,0.014,0.000,0.000,0.000,0.000,0.000
media.desktop,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.010,0.007,0.009,0.012
media.mobile,0.025,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000
media_perftests,0.000,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
memory.desktop,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.003,0.005,0.005
net_perftests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
octane,0.005,0.001,0.005,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001
passthrough_command_buffer_perftests,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
performance_browser_tests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000
power.desktop,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.014,0.011,0.013,0.016
rasterize_and_record_micro.partial_invalidation,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
rasterize_and_record_micro.top_25,0.048,0.016,0.083,0.000,0.000,0.000,0.013,0.000,0.010,0.008,0.008,0.009,0.013,0.017
rendering.desktop,0.000,0.000,0.593,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.113,0.070,0.091,0.149
rendering.mobile,0.018,0.205,0.000,0.000,0.000,0.000,0.175,0.000,0.107,0.000,0.000,0.000,0.000,0.000
speedometer,0.005,0.001,0.005,0.000,0.004,0.003,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.002
speedometer-future,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000
speedometer2,0.008,0.002,0.009,0.000,0.008,0.006,0.001,0.000,0.001,0.001,0.002,0.002,0.001,0.003
speedometer2-future,0.008,0.003,0.012,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.002,0.003,0.002,0.007
startup.mobile,0.025,0.000,0.000,0.000,0.030,0.000,0.011,0.018,0.000,0.000,0.000,0.000,0.000,0.000
system_health.common_desktop,0.000,0.000,0.272,0.235,0.000,0.000,0.000,0.000,0.000,0.042,0.050,0.039,0.045,0.062
system_health.common_mobile,0.205,0.053,0.000,0.000,0.146,0.091,0.044,0.041,0.029,0.000,0.000,0.000,0.000,0.000
system_health.memory_desktop,0.000,0.000,0.242,0.263,0.000,0.000,0.000,0.000,0.000,0.029,0.042,0.032,0.038,0.050
system_health.memory_mobile,0.038,0.042,0.000,0.000,0.097,0.063,0.060,0.042,0.028,0.000,0.000,0.000,0.000,0.000
system_health.webview_startup,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tab_switching.typical_25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tracing.tracing_with_background_memory_infra,0.009,0.002,0.017,0.025,0.000,0.000,0.002,0.000,0.001,0.002,0.003,0.002,0.002,0.003
tracing_perftests,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
v8.browsing_desktop,0.000,0.000,0.163,0.152,0.000,0.000,0.000,0.000,0.000,0.021,0.028,0.021,0.025,0.036
v8.browsing_desktop-future,0.000,0.000,0.158,0.159,0.000,0.000,0.000,0.000,0.000,0.023,0.029,0.022,0.025,0.036
v8.browsing_mobile,0.037,0.044,0.000,0.000,0.143,0.000,0.037,0.000,0.024,0.000,0.000,0.000,0.000,0.000
v8.browsing_mobile-future,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
v8.runtime_stats.top_25,0.000,0.000,0.613,0.805,0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.000,0.094,0.116
validating_command_buffer_perftests,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
views_perftests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
webrtc,0.017,0.004,0.034,0.038,0.000,0.000,0.004,0.000,0.003,0.004,0.005,0.004,0.005,0.010
